index,Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Classification,Department,DateAcquired,Count_Artists,main_artist_ConstituentID
65,"House IV Project, Falls Village, Connecticut (Multiple axonometrics)","Peter Eisenman, Robert Cole","6969, 8134","(American, born 1932)",(American) (),(1932) (0),(0) (0),(Male) (Male),1975,Architecture,Architecture & Design,08/01/1980,2,6969
66,"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective","Rem Koolhaas, Madelon Vriesendorp","6956, 6957","(Dutch, born 1944) (Dutch, born 1945)",(Dutch) (Dutch),(1944) (1945),(0) (0),(Male) (Female),1987,Architecture,Architecture & Design,19/01/2000,2,6956
76,"Regional Administrative Center, project ""Trieste e una Donna."" , Trieste, Italy, Competition design: Elevation and section","Aldo Rossi, Gianni Braghieri, M. Bosshard","7661, 8131, 8180","(Italian, 1931â€“1997) (Italian, born 1945) (Italian)",(Italian) (Italian) (Italian),(1931) (1945) (0),(1997) (0) (0),(Male) (Male) (Male),1974,Architecture,Architecture & Design,08/01/1980,3,7661
107,"Woodland Crematorium, Woodland Cemetery, Stockholm, Sweden, Site plan and section, final version","Erik Gunnar Asplund, Sigurd Lewerentz","27, 24452","(Swedish, 1885â€“1940) (Swedish)",(Swedish) (Swedish),(1885) (0),(1940) (0),(Male) (Male),1937,Architecture,Architecture & Design,17/01/1990,2,27
110,"Palais de la DÃ©couverte Project, Paris, France (Elevation)","Paul Nelson, Frantz Jourdain, Oscar Nitzchke","8102, 6703, 4312","(American, 1895â€“1979) (French, 1847â€“1935) (American, born Germany. 1900â€“1991)",(American) (French) (American),(1895) (1847) (1900),(1979) (1935) (1991),(Male) (Male) (Male),1938,Architecture,Architecture & Design,01/01/1966,3,8102
111,"Palais de la DÃ©couverte Project, Paris, France (Longitudinal section)","Paul Nelson, Frantz Jourdain, Oscar Nitzchke","8102, 6703, 4312","(American, 1895â€“1979) (French, 1847â€“1935) (American, born Germany. 1900â€“1991)",(American) (French) (American),(1895) (1847) (1900),(1979) (1935) (1991),(Male) (Male) (Male),1938,Architecture,Architecture & Design,01/01/1966,3,8102
112,"Palais de la DÃ©couverte Project, Paris, France (Aerial perspective)","Paul Nelson, Oscar Nitzchke, Frantz Jourdain","8102, 4312, 6703","(American, 1895â€“1979) (American, born Germany. 1900â€“1991) (French, 1847â€“1935)",(American) (American) (French),(1895) (1900) (1847),(1979) (1991) (1935),(Male) (Male) (Male),1938,Architecture,Architecture & Design,01/01/1966,3,8102
113,"Palais de la DÃ©couverte Project, Paris, France (Plan of upper level and exhibits)","Paul Nelson, Frantz Jourdain, Oscar Nitzchke","8102, 6703, 4312","(American, 1895â€“1979) (French, 1847â€“1935) (American, born Germany. 1900â€“1991)",(American) (French) (American),(1895) (1847) (1900),(1979) (1935) (1991),(Male) (Male) (Male),1938,Architecture,Architecture & Design,01/01/1966,3,8102
151,"Slow House Project, North Haven, New York, Plan of lower-level and sections","Diller + Scofidio, Elizabeth Diller, Ricardo Scofidio","8707, 6951, 6952","(est. 1981) (American, born Poland 1954) (American, born 1935)",(American) (American) (American),(1981) (1954) (1935),(0) (0) (0),() (Female) (Male),1989,Architecture,Architecture & Design,15/01/1992,3,6951
154,"Egg of Columbus Circle project, New York, New York (Axonometric)","Rem Koolhaas, Zoe Zenghelis, Elia Zenghelis, Madelon Vriesendorp","6956, 7559, 7558, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(Male) (Female) (Male) (Female),1975,Architecture,Architecture & Design,15/01/1992,4,6956
160,"City Hall, project, North Canton, Ohio, Perspective sketch","Venturi and Rauch, Robert Venturi, John Rauch","8213, 6132, 8214","(American, est. 1964â€“1979) (American, 1925â€“2018) (American, born 1930)",(American) (American) (American),(1964) (1925) (1930),(1979) (2018) (0),() (Male) (Male),1965,Architecture,Architecture & Design,27/04/1988,3,6132
